Russian,English
знаменитость,celebrity
ракета,missile
лазер,laser
злоба,spite
мельница,mill
официантка,waitress
пенсия,retirement
согласие,consent
психотерапевт,shrink
медь,copper
аукцион,auction
путаница,confusion
колонна,column
симпатия,sympathy
докладчик,speaker
латунь,brass
констебль,constable
отрок,brat
схема,scheme
наследник,heir
канава,ditch
подозрение,suspicion
прилив,tide
турнир,tournament
радуга,rainbow
орбита,orbit
корпус,corps
платформа,platform
ткань,cloth
дробовик,shotgun
мех,fur
джин,gin
